		#naca0012		
#group	#point	#x_cord	#y_cord	#z_cord
1	473	0.94400	0.00768	0.00000
1	474	0.94600	0.00741	0.00000
1	475	0.94800	0.00714	0.00000
1	476	0.95000	0.00688	0.00000
1	477	0.95200	0.00661	0.00000
1	478	0.95400	0.00634	0.00000
1	479	0.95600	0.00607	0.00000
1	480	0.95800	0.00581	0.00000
1	481	0.96000	0.00554	0.00000
1	482	0.96200	0.00527	0.00000
1	483	0.96400	0.00499	0.00000
1	484	0.96600	0.00472	0.00000
1	485	0.96800	0.00445	0.00000
1	486	0.97000	0.00418	0.00000
1	487	0.97200	0.00390	0.00000
1	488	0.97400	0.00363	0.00000
1	489	0.97600	0.00335	0.00000
1	490	0.97800	0.00308	0.00000
1	491	0.98000	0.00280	0.00000
1	492	0.98200	0.00253	0.00000
1	493	0.98400	0.00225	0.00000
1	494	0.98600	0.00197	0.00000
1	495	0.98800	0.00169	0.00000
1	496	0.99000	0.00141	0.00000
1	497	0.99200	0.00113	0.00000
1	498	0.99400	0.00085	0.00000
1	499	0.99600	0.00057	0.00000
1	500	0.99800	0.00028	0.00000
1	501	1.00000	0.00000	0.00000
1	502	0.99800	-0.00028	0.00000
1	503	0.99600	-0.00057	0.00000
1	504	0.99400	-0.00085	0.00000
1	505	0.99200	-0.00113	0.00000
1	506	0.99000	-0.00141	0.00000
1	507	0.98800	-0.00169	0.00000
1	508	0.98600	-0.00197	0.00000
1	509	0.98400	-0.00225	0.00000
1	510	0.98200	-0.00253	0.00000
1	511	0.98000	-0.00280	0.00000
1	512	0.97800	-0.00308	0.00000
1	513	0.97600	-0.00335	0.00000
1	514	0.97400	-0.00363	0.00000
1	515	0.97200	-0.00390	0.00000
1	516	0.97000	-0.00418	0.00000
1	517	0.96800	-0.00445	0.00000
1	518	0.96600	-0.00472	0.00000
1	519	0.96400	-0.00499	0.00000
1	520	0.96200	-0.00527	0.00000
1	521	0.96000	-0.00554	0.00000
1	522	0.95800	-0.00581	0.00000
1	523	0.95600	-0.00607	0.00000
1	524	0.95400	-0.00634	0.00000
1	525	0.95200	-0.00661	0.00000
1	526	0.95000	-0.00688	0.00000
1	527	0.94800	-0.00714	0.00000
1	528	0.94600	-0.00741	0.00000
1	529	0.94400	-0.00768	0.00000
1	530	0.94200	-0.00794	0.00000
1	531	0.94000	-0.00820	0.00000
1	532	0.93800	-0.00847	0.00000
1	533	0.93600	-0.00873	0.00000
1	534	0.93400	-0.00899	0.00000
1	535	0.93200	-0.00925	0.00000
1	536	0.93000	-0.00951	0.00000
1	537	0.92800	-0.00977	0.00000
1	538	0.92600	-0.01003	0.00000
1	539	0.92400	-0.01029	0.00000
1	540	0.92200	-0.01055	0.00000
1	541	0.92000	-0.01081	0.00000
1	542	0.91800	-0.01107	0.00000
1	543	0.91600	-0.01132	0.00000
1	544	0.91400	-0.01158	0.00000
1	545	0.91200	-0.01183	0.00000
1	546	0.91000	-0.01209	0.00000
1	547	0.90800	-0.01234	0.00000
1	548	0.90600	-0.01260	0.00000
1	549	0.90400	-0.01285	0.00000
1	550	0.90200	-0.01310	0.00000
1	551	0.90000	-0.01335	0.00000
1	552	0.89800	-0.01360	0.00000
1	553	0.89600	-0.01385	0.00000
1	554	0.89400	-0.01410	0.00000
1	555	0.89200	-0.01435	0.00000
1	556	0.89000	-0.01460	0.00000
1	557	0.88800	-0.01485	0.00000
1	558	0.88600	-0.01510	0.00000
1	559	0.88400	-0.01534	0.00000
1	560	0.88200	-0.01559	0.00000
1	561	0.88000	-0.01584	0.00000
1	562	0.87800	-0.01608	0.00000
1	563	0.87600	-0.01633	0.00000
1	564	0.87400	-0.01657	0.00000
1	565	0.87200	-0.01681	0.00000
1	566	0.87000	-0.01706	0.00000
1	567	0.86800	-0.01730	0.00000
1	568	0.86600	-0.01754	0.00000
1	569	0.86400	-0.01778	0.00000
1	570	0.86200	-0.01802	0.00000
1	571	0.86000	-0.01826	0.00000
1	572	0.85800	-0.01850	0.00000
1	573	0.85600	-0.01874	0.00000
1	574	0.85400	-0.01898	0.00000
1	575	0.85200	-0.01922	0.00000
1	576	0.85000	-0.01946	0.00000
1	577	0.84800	-0.01969	0.00000
1	578	0.84600	-0.01993	0.00000
1	579	0.84400	-0.02016	0.00000
1	580	0.84200	-0.02040	0.00000
1	581	0.84000	-0.02063	0.00000
1	582	0.83800	-0.02087	0.00000
1	583	0.83600	-0.02110	0.00000
1	584	0.83400	-0.02133	0.00000
1	585	0.83200	-0.02157	0.00000
1	586	0.83000	-0.02180	0.00000
1	587	0.82800	-0.02203	0.00000
1	588	0.82600	-0.02226	0.00000
1	589	0.82400	-0.02249	0.00000
1	590	0.82200	-0.02272	0.00000
1	591	0.82000	-0.02295	0.00000
1	592	0.81800	-0.02318	0.00000
1	593	0.81600	-0.02341	0.00000
1	594	0.81400	-0.02363	0.00000
1	595	0.81200	-0.02386	0.00000
1	596	0.81000	-0.02409	0.00000
1	597	0.80800	-0.02431	0.00000
1	598	0.80600	-0.02454	0.00000
1	599	0.80400	-0.02476	0.00000
1	600	0.80200	-0.02499	0.00000
1	601	0.80000	-0.02521	0.00000
1	602	0.79800	-0.02543	0.00000
1	603	0.79600	-0.02566	0.00000
1	604	0.79400	-0.02588	0.00000
1	605	0.79200	-0.02610	0.00000
1	606	0.79000	-0.02632	0.00000
1	607	0.78800	-0.02654	0.00000
1	608	0.78600	-0.02676	0.00000
1	609	0.78400	-0.02698	0.00000
1	610	0.78200	-0.02720	0.00000
1	611	0.78000	-0.02742	0.00000
1	612	0.77800	-0.02764	0.00000
1	613	0.77600	-0.02785	0.00000
1	614	0.77400	-0.02807	0.00000
1	615	0.77200	-0.02829	0.00000
1	616	0.77000	-0.02850	0.00000
1	617	0.76800	-0.02872	0.00000
1	618	0.76600	-0.02893	0.00000
1	619	0.76400	-0.02915	0.00000
1	620	0.76200	-0.02936	0.00000
1	621	0.76000	-0.02957	0.00000
1	622	0.75800	-0.02978	0.00000
1	623	0.75600	-0.03000	0.00000
1	624	0.75400	-0.03021	0.00000
1	625	0.75200	-0.03042	0.00000
1	626	0.75000	-0.03063	0.00000
1	627	0.74800	-0.03084	0.00000
1	628	0.74600	-0.03105	0.00000
1	629	0.74400	-0.03126	0.00000
1	630	0.74200	-0.03146	0.00000
1	631	0.74000	-0.03167	0.00000
1	632	0.73800	-0.03188	0.00000
1	633	0.73600	-0.03209	0.00000
1	634	0.73400	-0.03229	0.00000
1	635	0.73200	-0.03250	0.00000
1	636	0.73000	-0.03270	0.00000
1	637	0.72800	-0.03291	0.00000
1	638	0.72600	-0.03311	0.00000
1	639	0.72400	-0.03331	0.00000
1	640	0.72200	-0.03352	0.00000
1	641	0.72000	-0.03372	0.00000
1	642	0.71800	-0.03392	0.00000
1	643	0.71600	-0.03412	0.00000
1	644	0.71400	-0.03432	0.00000
